Constituency,MP,Winning party,Electorate,Valid votes,Majority,Majority (%),Con,Lab,LD
Fermanagh and South Tyrone,Michelle Gildernew,SF,72848,50762,57,0%,0,0,0
Bury North,James Daly,Con,68802,46841,105,0%,21660,21555,1584
East Dunbartonshire,Amy Callaghan,SNP,66075,53031,149,0%,7455,4839,19523
Bedford,Mohammad Yasin,Lab,71581,47301,145,0%,20346,20491,4608
Kensington,Felicity Buchan,Con,64609,43762,150,0%,16768,16618,9312
Coventry North West,Taiwo Owatemi,Lab,75247,47744,208,0%,20710,20918,2717
Alyn and Deeside,Mark Tami,Lab,62789,43008,213,0%,18058,18271,2548
"Caithness, Sutherland and Easter Ross",Jamie Stone,LD,46930,31457,204,1%,5176,1936,11705
Dagenham and Rainham,Jon Cruddas,Lab,71045,43735,293,1%,19175,19468,1182
Bury South,Christian Wakeford,Con,75152,50274,402,1%,22034,21632,2315
Bolton North East,Mark Logan,Con,67564,43556,378,1%,19759,19381,1847
Coventry South,Zarah Sultana,Lab,70979,45044,401,1%,19143,19544,3398
Moray,Douglas Ross,Con,71035,48825,513,1%,22112,2432,2269
High Peak,Robert Largan,Con,74265,54173,590,1%,24844,24254,2750
Weaver Vale,Mike Amesbury,Lab,70551,50713,562,1%,22210,22772,3300
Wimbledon,Stephen Hammond,Con,68240,53027,628,1%,20373,12543,19745
"Sheffield, Hallam",Olivia Blake,Lab,72763,56885,712,1%,14696,19709,18997
Carshalton and Wallington,Elliot Colburn,Con,72941,49098,629,1%,20822,6081,20193
Gedling,Tom Randall,Con,71336,49953,679,1%,22718,22039,2279
Heywood and Middleton,Chris Clarkson,Con,80162,47488,663,1%,20453,19790,2073
Warwick and Leamington,Matt Western,Lab,76362,54205,789,1%,22929,23718,4995
Gordon,Richard Thomson,SNP,79629,55916,819,1%,23066,3052,5913
West Aberdeenshire and Kincardine,Andrew Bowie,Con,72640,53345,843,2%,22752,2431,6253
Cheltenham,Alex Chalk,Con,81044,59357,981,2%,28486,2921,27505
Winchester,Stephen Brine,Con,75582,58890,985,2%,28430,2723,27445
Blyth Valley,Ian Levy,Con,64429,40859,712,2%,17440,16728,2151
Wansbeck,Ian Lavery,Lab,63339,40509,814,2%,16310,17124,2539
Newport West,Ruth Jones,Lab,66657,43433,902,2%,18075,18977,2565
Stoke-On-Trent Central,Jo Gideon,Con,55419,32070,670,2%,14557,13887,1116
Chipping Barnet,Theresa Villiers,Con,79960,57569,1212,2%,25745,24533,5932
Delyn,Rob Roberts,Con,54560,38370,865,2%,16756,15891,2346
North West Durham,Richard Holden,Con,72166,47663,1144,2%,19990,18846,2831
Stockton North,Alex Cunningham,Lab,66649,41156,1027,2%,16701,17728,1631
Chingford and Woodford Green,Iain Duncan Smith,Con,65393,48444,1262,3%,23481,22219,2744
"Normanton, Pontefract and Castleford",Yvette Cooper,Lab,84527,48259,1276,3%,17021,18297,3147
Kirkcaldy and Cowdenbeath,Neale Hanvey,SNP,72853,47005,1243,3%,9449,15325,2903
