Constituency	MP	Winning party	Electorate	Valid votes	Majority	Majority (%)	Con	Lab	LD
Bury North	James Daly	Con	68802	46841	105	0.224162593	21660	21555	1584
Kensington	Felicity Buchan	Con	64609	43762	150	0.342763128	16768	16618	9312
Bury South	Christian Wakeford	Con	75152	50274	402	0.799618093	22034	21632	2315
Bolton North East	Mark Logan	Con	67564	43556	378	0.867848287	19759	19381	1847
Moray	Douglas Ross	Con	71035	48825	513	1.050691244	22112	2432	2269
High Peak	Robert Largan	Con	74265	54173	590	1.089103428	24844	24254	2750
Wimbledon	Stephen Hammond	Con	68240	53027	628	1.184302337	20373	12543	19745
Carshalton and Wallington	Elliot Colburn	Con	72941	49098	629	1.281111247	20822	6081	20193
Gedling	Tom Randall	Con	71336	49953	679	1.359277721	22718	22039	2279
Heywood and Middleton	Chris Clarkson	Con	80162	47488	663	1.396142183	20453	19790	2073
West Aberdeenshire and Kincardine	Andrew Bowie	Con	72640	53345	843	1.580279314	22752	2431	6253
Cheltenham	Alex Chalk	Con	81044	59357	981	1.652711559	28486	2921	27505
Winchester	Stephen Brine	Con	75582	58890	985	1.672609951	28430	2723	27445
Blyth Valley	Ian Levy	Con	64429	40859	712	1.742578135	17440	16728	2151
Stoke-On-Trent Central	Jo Gideon	Con	55419	32070	670	2.089179919	14557	13887	1116
Chipping Barnet	Theresa Villiers	Con	79960	57569	1212	2.105299727	25745	24533	5932
Delyn	Rob Roberts	Con	54560	38370	865	2.25436539	16756	15891	2346
North West Durham	Richard Holden	Con	72166	47663	1144	2.40018463	19990	18846	2831
Chingford and Woodford Green	Iain Duncan Smith	Con	65393	48444	1262	2.605069771	23481	22219	2744
Bridgend	Jamie Wallis	Con	63303	42236	1157	2.739369258	18193	17036	2368
Dewsbury	Mark Eastwood	Con	81253	56389	1561	2.768270407	26179	24618	2406
Warrington South	Andy Carter	Con	86015	61899	2010	3.247225319	28187	26177	5732
Clwyd South	Simon Baynes	Con	53919	36306	1239	3.412659065	16222	14983	1496
Burnley	Antony Higginbotham	Con	64345	38984	1352	3.468089473	15720	14368	3501
Dumfries and Galloway	Alister Jack	Con	74580	51429	1805	3.509692975	22678	4745	3133
"Birmingham, Northfield"	Gary Sambrook	Con	73694	43098	1640	3.805280988	19957	18317	1961
Wolverhampton South West	Stuart Anderson	Con	60534	41136	1661	4.037825749	19864	18203	2041
Cheadle	Mary Robinson	Con	74577	55903	2336	4.178666619	25694	6851	23358
Leigh	James Grundy	Con	77417	46979	1965	4.182719939	21266	19301	2252
Keighley	Robbie Moore	Con	72778	52600	2218	4.216730038	25298	23080	2573
South Cambridgeshire	Anthony Browne	Con	87288	66929	2904	4.338926325	31015	7803	28111
Esher and Walton	Dominic Raab	Con	81184	63084	2743	4.348170693	31132	2838	28389
West Bromwich East	Nicola Richards	Con	62046	35975	1593	4.428075052	16804	15211	1313
Lewes	Maria Caulfield	Con	71503	54851	2457	4.47940785	26268	3206	23811
Vale Of Clwyd	James Davies	Con	56649	37213	1827	4.909574611	17270	15443	1471
Ynys M�n	Virginia Crosbie	Con	51925	36552	1968	5.384110309	12959	10991	0
Peterborough	Paul Bristow	Con	72560	47801	2580	5.397376624	22334	19754	2334
Derby North	Amanda Solloway	Con	73199	47017	2540	5.402301295	21259	18719	3450
Guildford	Angela Richardson	Con	77729	58651	3337	5.68958756	26317	4515	22980
Stroud	Siobhan Baillie	Con	84537	65930	3840	5.824359169	31582	27742	0
Wrexham	Sarah Atherton	Con	49737	33532	2131	6.355123464	15199	13068	1447
Aberconwy	Robin Millar	Con	44699	31865	2034	6.383179037	14687	12653	1821
Pudsey	Stuart Andrew	Con	73212	54215	3517	6.487134557	26453	22936	3088
Vale Of Glamorgan	Alun Cairns	Con	76508	54807	3562	6.499169814	27305	23743	0
Lincoln	Karl McCartney	Con	74942	50629	3514	6.940686168	24267	20753	2422
Hyndburn	Sara Britcliffe	Con	70842	42406	2951	6.958920907	20565	17614	1226
